EMBED_CLASS,LINK_EMBED,METHOD,ENVIED_CLASS,LINK_ENVIED
"org.apache.catalina.core.StandardWrapperValve","https://github.com/antoineBarbez/feature_envy/blob/master/apache-tomcat/StandardWrapperValve.java","exception(Request, Response, Throwable)","org.apache.catalina.connector.Request","https://github.com/antoineBarbez/feature_envy/blob/master/apache-tomcat/Request.java"
"org.apache.tomcat.util.modeler.Registry","https://github.com/antoineBarbez/feature_envy/blob/master/apache-tomcat/Registry.java","getMBeanServer()","org.apache.catalina.startup.Bootstrap","https://github.com/antoineBarbez/feature_envy/blob/master/apache-tomcat/Bootstrap.java"
"org.apache.lucene.index.TermVectorsReader","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/TermVectorsReader.java","readTermVector(String, long)","org.apache.lucene.store.InputStream","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/InputStream.java"
"org.apache.lucene.index.TermVectorsReader","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/TermVectorsReader.java","checkValidFormat(InputStream)","org.apache.lucene.store.InputStream","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/InputStream.java"
"org.apache.lucene.index.FieldInfos","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/FieldInfos.java","read(InputStream)","org.apache.lucene.store.InputStream","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/InputStream.java"
"org.apache.lucene.index.FieldInfos","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/FieldInfos.java","write(OutputStream)","org.apache.lucene.store.OutputStream","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/OutputStream.java"
"org.apache.lucene.index.FieldInfos","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/FieldInfos.java","write(OutputStream)","org.apache.lucene.index.FieldInfo","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/FieldInfo.java"
"org.apache.lucene.store.FSDirectory","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/FSDirectory.java","touchFile(String)","org.apache.lucene.store.RAMDirectory","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/RAMDirectory.java"
"org.apache.lucene.store.FSDirectory","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/FSDirectory.java","touchFile(String)","org.apache.lucene.store.Directory","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/Directory.java"
"org.apache.lucene.search.TermQuery","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/TermQuery.java","explain(IndexReader, int)","org.apache.lucene.search.PhraseQuery","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/PhraseQuery.java"
"org.apache.lucene.search.TermQuery","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/TermQuery.java","explain(IndexReader, int)","org.apache.lucene.search.PhrasePrefixQuery","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/PhrasePrefixQuery.java"
"org.apache.lucene.search.Sort","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/Sort.java","toString()","org.apache.lucene.search.SortField","https://github.com/antoineBarbez/feature_envy/blob/master/lucene/SortField.java"
